Reading isolectic sets from input file: /home/jdellert/synchro/arb/lty/smp-frontiers/experiments/breathing/francois2008-isolectic-areas.tsv
Will write semantic map in DOT format to output files with prefix /home/jdellert/synchro/arb/lty/smp-frontiers/experiments/breathing/francois2008
Extracted isolectic sets from 12 languages.
Proceeding to separating set size 0, 335 potentially deletable links left.
  (DIVINE BREATH,SUPERNATURAL BEING) = 3.1465004271809045
  (DIVINE BREATH,TAKE A REST) = 2.0794527444318494
  (DIVINE BREATH,VITAL FORCE) = 4.014177128594575
  (GHOST,HEART) = 4.043574637012576
  (GHOST,INSPIRATION) = 2.025912395111208
  (GHOST,INTELLIGENCE) = 1.0117334555212327
  (GHOST,LIFE) = 5.197507114169469
  (GHOST,LIVING BEING) = 3.1232370885875067
  (GHOST,MIND) = 5.110331834640357
  (GHOST,MOOD) = 4.019812450090152
  (GHOST,ONESELF) = 1.000707078331298
  (GHOST,PAUSE FOR BREATH) = 2.0349669322540396
  (GHOST,PRIDE) = 2.011531005495013
  (GHOST,PUFF OF BREATH) = 5.017202137333459
  (GHOST,SCENT) = 2.060953399580006
  (GHOST,SELF) = 3.0078574865659276
  (GHOST,SOUL) = 5.028379687006792
  (GHOST,SUPERNATURAL BEING) = 1.0438272572567056
  (GHOST,TAKE A REST) = 2.067329232688926
  (GHOST,UTTER) = 1.025622466193932
  (GHOST,VITAL FORCE) = 5.235847414063766
  (GHOST,WHISPER) = 1.044060691480818
  (HEART,INSPIRATION) = 4.0461232334298725
  (HEART,INTELLIGENCE) = 1.0241016705846437
  (HEART,LIFE) = 7.074122738470562
  (HEART,LIVING BEING) = 3.0920295867289047
  (HEART,MIND) = 7.296925071004466
  (HEART,MOOD) = 6.120606091131782
  (HEART,ONESELF) = 1.0221973134932327
  (HEART,PAUSE FOR BREATH) = 2.0800608452863405
  (HEART,PRIDE) = 5.04824783816745
  (HEART,PUFF OF BREATH) = 7.2916420486946905
  (HEART,SCENT) = 5.075102869637392
  (HEART,SELF) = 4.1469266148021
  (HEART,SOUL) = 5.122001870788018
  (HEART,SUPERNATURAL BEING) = 3.1258524474380005
  (HEART,TAKE A REST) = 2.069990434384366
  (HEART,VITAL FORCE) = 7.127114519228527
  (INSPIRATION,LIFE) = 4.031742454572076
  (INSPIRATION,LIVING BEING) = 1.0411795036289928
  (INSPIRATION,MIND) = 4.153547707621392
  (INSPIRATION,MOOD) = 3.02216154985162
  (INSPIRATION,ONESELF) = 1.034584920032066
  (INSPIRATION,PAUSE FOR BREATH) = 2.0454327787006816
  (INSPIRATION,PRIDE) = 3.1269512289063606
  (INSPIRATION,PUFF OF BREATH) = 4.11242430704541
  (INSPIRATION,SCENT) = 4.176347780674885
  (INSPIRATION,SELF) = 2.007233663865143
  (INSPIRATION,SOUL) = 3.0042443004884594
  (INSPIRATION,SUPERNATURAL BEING) = 3.0125977901587118
  (INSPIRATION,TAKE A REST) = 2.019062474262161
  (INSPIRATION,VITAL FORCE) = 4.086393056146376
  (INTELLIGENCE,LIFE) = 2.0802129487432417
  (INTELLIGENCE,LIVING BEING) = 2.0670362048883315
  (INTELLIGENCE,MIND) = 2.0900471126920297
  (INTELLIGENCE,MOOD) = 1.0349923022511152
  (INTELLIGENCE,ONESELF) = 1.021861957325734
  (INTELLIGENCE,PUFF OF BREATH) = 2.0001938071731664
  (INTELLIGENCE,SELF) = 2.0108276330669517
  (INTELLIGENCE,SOUL) = 2.039138843543153
  (INTELLIGENCE,SUPERNATURAL BEING) = 1.0338342282425106
  (INTELLIGENCE,VITAL FORCE) = 2.0231169439963734
  (LIFE,LIVING BEING) = 4.075804782927861
  (LIFE,MIND) = 9.146669109756852
  (LIFE,MOOD) = 6.046578237399532
  (LIFE,ONESELF) = 2.05756661124173
  (LIFE,PAUSE FOR BREATH) = 4.010275546541645
  (LIFE,PRIDE) = 5.185332877551239
  (LIFE,PUFF OF BREATH) = 11.393310252010595
  (LIFE,SCENT) = 6.25830159735644
  (LIFE,SELF) = 5.1932566189029705
  (LIFE,SOUL) = 7.148605072092665
  (LIFE,SUPERNATURAL BEING) = 4.090455469631783
  (LIFE,TAKE A REST) = 4.0072152847551035
  (LIFE,UTTER) = 2.083199230498831
  (LIFE,VITAL FORCE) = 10.043578409009406
  (LIFE,WHISPER) = 2.0895007888568253
  (LIVING BEING,MIND) = 4.151850795373175
  (LIVING BEING,MOOD) = 3.0368589800619326
  (LIVING BEING,ONESELF) = 1.0120993700063903
  (LIVING BEING,PAUSE FOR BREATH) = 1.0094094021983189
  (LIVING BEING,PRIDE) = 2.0385141925415593
  (LIVING BEING,PUFF OF BREATH) = 4.074314412336874
  (LIVING BEING,SCENT) = 1.0261883622077976
  (LIVING BEING,SELF) = 3.080737708234241
  (LIVING BEING,SOUL) = 4.013865256044003
  (LIVING BEING,SUPERNATURAL BEING) = 1.0005090581624922
  (LIVING BEING,TAKE A REST) = 1.0367413288275533
  (LIVING BEING,VITAL FORCE) = 4.091794837749347
  (MIND,MOOD) = 6.075755821953995
  (MIND,ONESELF) = 3.088160185012813
  (MIND,PAUSE FOR BREATH) = 3.134416344803699
  (MIND,PRIDE) = 5.137745737535983
  (MIND,PUFF OF BREATH) = 10.242837243082521
  (MIND,SCENT) = 5.0058287814678994
  (MIND,SELF) = 6.070797584149186
  (MIND,SOUL) = 7.226248694804196
  (MIND,SUPERNATURAL BEING) = 4.08281873311566
  (MIND,TAKE A REST) = 3.047182240489933
  (MIND,UTTER) = 1.0179647967719134
  (MIND,VITAL FORCE) = 10.077567587219061
  (MIND,WHISPER) = 1.0375624376766468
  (MOOD,ONESELF) = 1.0353814096634193
  (MOOD,PAUSE FOR BREATH) = 2.0804641694038564
  (MOOD,PRIDE) = 4.07195379821971
  (MOOD,PUFF OF BREATH) = 6.072593772149281
  (MOOD,SCENT) = 4.111421432235167
  (MOOD,SELF) = 4.164077416203664
  (MOOD,SOUL) = 5.056186653140435
  (MOOD,SUPERNATURAL BEING) = 2.0939926709355206
  (MOOD,TAKE A REST) = 2.0626332777663943
  (MOOD,VITAL FORCE) = 6.140308227852507
  (ONESELF,PAUSE FOR BREATH) = 2.0007495849951056
  (ONESELF,PUFF OF BREATH) = 3.0908266370581865
  (ONESELF,SCENT) = 1.031558820561651
  (ONESELF,SELF) = 3.014077144740504
  (ONESELF,SOUL) = 2.0590356335651396
  (ONESELF,SUPERNATURAL BEING) = 2.0668447695432985
  (ONESELF,TAKE A REST) = 2.0287702780459216
  (ONESELF,VITAL FORCE) = 3.1214651190947222
  (PAUSE FOR BREATH,PRIDE) = 1.0493822147916894
  (PAUSE FOR BREATH,PUFF OF BREATH) = 6.2978262632948745
  (PAUSE FOR BREATH,SCENT) = 4.197737990930898
  (PAUSE FOR BREATH,SELF) = 2.085272566921089
  (PAUSE FOR BREATH,SOUL) = 2.092475869156462
  (PAUSE FOR BREATH,SUPERNATURAL BEING) = 1.0316191221973625
  (PAUSE FOR BREATH,TAKE A REST) = 7.17654533495615
  (PAUSE FOR BREATH,UTTER) = 1.0309300655260432
  (PAUSE FOR BREATH,VITAL FORCE) = 4.1469685963170635
  (PAUSE FOR BREATH,WHISPER) = 1.0436033580188921
  (PRIDE,PUFF OF BREATH) = 5.194970377893919
  (PRIDE,SCENT) = 4.141515104586732
  (PRIDE,SELF) = 2.007339887619908
  (PRIDE,SOUL) = 3.0166004556170343
  (PRIDE,SUPERNATURAL BEING) = 2.09836658786479
  (PRIDE,TAKE A REST) = 1.0271494745542649
  (PRIDE,VITAL FORCE) = 5.028095480199585
  (PUFF OF BREATH,SCENT) = 7.197135614251613
  (PUFF OF BREATH,SELF) = 6.135848985710771
  (PUFF OF BREATH,SOUL) = 8.398063479508112
  (PUFF OF BREATH,SUPERNATURAL BEING) = 4.188538210222666
  (PUFF OF BREATH,TAKE A REST) = 6.099975300865288
  (PUFF OF BREATH,UTTER) = 2.007383982985388
  (PUFF OF BREATH,VITAL FORCE) = 12.582154164890445
  (PUFF OF BREATH,WHISPER) = 2.088759729270611
  (SCENT,SELF) = 2.0137776274234227
  (SCENT,SOUL) = 3.141180094232124
  (SCENT,SUPERNATURAL BEING) = 3.0163431033388184
  (SCENT,TAKE A REST) = 4.061907990686123
  (SCENT,VITAL FORCE) = 6.256900449220445
  (SELF,SOUL) = 5.210879712133084
  (SELF,SUPERNATURAL BEING) = 3.087046660671119
  (SELF,TAKE A REST) = 2.0278850355300517
  (SELF,VITAL FORCE) = 6.035324949303391
  (SOUL,SUPERNATURAL BEING) = 3.036144554747093
  (SOUL,TAKE A REST) = 2.0453508183435427
  (SOUL,UTTER) = 1.0082673779339943
  (SOUL,VITAL FORCE) = 8.135928577194834
  (SOUL,WHISPER) = 1.045930297830819
  (SUPERNATURAL BEING,TAKE A REST) = 1.0141649537288595
  (SUPERNATURAL BEING,VITAL FORCE) = 4.162476370076983
  (TAKE A REST,UTTER) = 1.0496465124048289
  (TAKE A REST,VITAL FORCE) = 4.085374163209277
  (TAKE A REST,WHISPER) = 1.0177328871627827
  (UTTER,VITAL FORCE) = 1.0228892807947816
  (UTTER,WHISPER) = 2.03714196198612
  (VITAL FORCE,WHISPER) = 1.0376674718523349
  Attempting to separate pair COLD AIR-GHOST using the 26 neighbors of COLD AIR and GHOST on connecting paths, forming 26 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (COLD AIR,GHOST) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (COLD AIR,GHOST) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (COLD AIR,GHOST) can be removed by conditioning on [BLOW]
    successful independence test, link (COLD AIR,GHOST) can be removed by conditioning on [BREATHE]
    successful independence test, link (COLD AIR,GHOST) can be removed by conditioning on [HEART]
    successful independence test, link (COLD AIR,GHOST) can be removed by conditioning on [INTELLIGENCE]
    successful independence test, link (COLD AIR,GHOST) can be removed by conditioning on [LIFE]
    successful independence test, link (COLD AIR,GHOST) can be removed by conditioning on [LIVING BEING]
    successful independence test, link (COLD AIR,GHOST) can be removed by conditioning on [MIND]
    successful independence test, link (COLD AIR,GHOST) can be removed by conditioning on [MOOD]
    successful independence test, link (COLD AIR,GHOST) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (COLD AIR,GHOST) can be removed by conditioning on [SELF]
    successful independence test, link (COLD AIR,GHOST) can be removed by conditioning on [SOUL]
    successful independence test, link (COLD AIR,GHOST) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair LIVING BEING-SUPERNATURAL BEING using the 24 neighbors of LIVING BEING and SUPERNATURAL BEING on connecting paths, forming 24 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (LIVING BEING,SUPERNATURAL BEING) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (LIVING BEING,SUPERNATURAL BEING) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (LIVING BEING,SUPERNATURAL BEING) can be removed by conditioning on [BREATHE]
    successful independence test, link (LIVING BEING,SUPERNATURAL BEING) can be removed by conditioning on [INTELLIGENCE]
    successful independence test, link (LIVING BEING,SUPERNATURAL BEING) can be removed by conditioning on [LIFE]
    successful independence test, link (LIVING BEING,SUPERNATURAL BEING) can be removed by conditioning on [MIND]
    successful independence test, link (LIVING BEING,SUPERNATURAL BEING) can be removed by conditioning on [ONESELF]
    successful independence test, link (LIVING BEING,SUPERNATURAL BEING) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (LIVING BEING,SUPERNATURAL BEING) can be removed by conditioning on [SELF]
    successful independence test, link (LIVING BEING,SUPERNATURAL BEING) can be removed by conditioning on [SOUL]
    successful independence test, link (LIVING BEING,SUPERNATURAL BEING) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair GHOST-ONESELF using the 25 neighbors of GHOST and ONESELF on connecting paths, forming 25 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (GHOST,ONESELF) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (GHOST,ONESELF) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (GHOST,ONESELF) can be removed by conditioning on [BLOW (WIND)]
    successful independence test, link (GHOST,ONESELF) can be removed by conditioning on [DIVINE BREATH]
    successful independence test, link (GHOST,ONESELF) can be removed by conditioning on [HEART]
    successful independence test, link (GHOST,ONESELF) can be removed by conditioning on [INSPIRATION]
    successful independence test, link (GHOST,ONESELF) can be removed by conditioning on [LIFE]
    successful independence test, link (GHOST,ONESELF) can be removed by conditioning on [MIND]
    successful independence test, link (GHOST,ONESELF) can be removed by conditioning on [MOOD]
    successful independence test, link (GHOST,ONESELF) can be removed by conditioning on [PAUSE FOR BREATH]
    successful independence test, link (GHOST,ONESELF) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (GHOST,ONESELF) can be removed by conditioning on [SCENT]
    successful independence test, link (GHOST,ONESELF) can be removed by conditioning on [SELF]
    successful independence test, link (GHOST,ONESELF) can be removed by conditioning on [SOUL]
    successful independence test, link (GHOST,ONESELF) can be removed by conditioning on [SUPERNATURAL BEING]
    successful independence test, link (GHOST,ONESELF) can be removed by conditioning on [TAKE A REST]
    successful independence test, link (GHOST,ONESELF) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair BE ON VACATION-MIND using the 26 neighbors of BE ON VACATION and MIND on connecting paths, forming 26 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (BE ON VACATION,MIND) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (BE ON VACATION,MIND) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (BE ON VACATION,MIND) can be removed by conditioning on [BLOW]
    successful independence test, link (BE ON VACATION,MIND) can be removed by conditioning on [BLOW (WIND)]
    successful independence test, link (BE ON VACATION,MIND) can be removed by conditioning on [BREATHE]
    successful independence test, link (BE ON VACATION,MIND) can be removed by conditioning on [DIVINE BREATH]
    successful independence test, link (BE ON VACATION,MIND) can be removed by conditioning on [GHOST]
    successful independence test, link (BE ON VACATION,MIND) can be removed by conditioning on [HEART]
    successful independence test, link (BE ON VACATION,MIND) can be removed by conditioning on [INSPIRATION]
    successful independence test, link (BE ON VACATION,MIND) can be removed by conditioning on [LIFE]
    successful independence test, link (BE ON VACATION,MIND) can be removed by conditioning on [LIVING BEING]
    successful independence test, link (BE ON VACATION,MIND) can be removed by conditioning on [MOOD]
    successful independence test, link (BE ON VACATION,MIND) can be removed by conditioning on [PAUSE FOR BREATH]
    successful independence test, link (BE ON VACATION,MIND) can be removed by conditioning on [PRIDE]
    successful independence test, link (BE ON VACATION,MIND) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (BE ON VACATION,MIND) can be removed by conditioning on [SCENT]
    successful independence test, link (BE ON VACATION,MIND) can be removed by conditioning on [SOUL]
    successful independence test, link (BE ON VACATION,MIND) can be removed by conditioning on [TAKE A REST]
    successful independence test, link (BE ON VACATION,MIND) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair COLD AIR-SOUL using the 26 neighbors of COLD AIR and SOUL on connecting paths, forming 26 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (COLD AIR,SOUL) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (COLD AIR,SOUL) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (COLD AIR,SOUL) can be removed by conditioning on [BLOW]
    successful independence test, link (COLD AIR,SOUL) can be removed by conditioning on [BREATHE]
    successful independence test, link (COLD AIR,SOUL) can be removed by conditioning on [HEART]
    successful independence test, link (COLD AIR,SOUL) can be removed by conditioning on [INTELLIGENCE]
    successful independence test, link (COLD AIR,SOUL) can be removed by conditioning on [LIFE]
    successful independence test, link (COLD AIR,SOUL) can be removed by conditioning on [LIVING BEING]
    successful independence test, link (COLD AIR,SOUL) can be removed by conditioning on [MIND]
    successful independence test, link (COLD AIR,SOUL) can be removed by conditioning on [MOOD]
    successful independence test, link (COLD AIR,SOUL) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (COLD AIR,SOUL) can be removed by conditioning on [SELF]
    successful independence test, link (COLD AIR,SOUL) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair BLOW (WIND)-ONESELF using the 23 neighbors of BLOW (WIND) and ONESELF on connecting paths, forming 23 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (BLOW (WIND),ONESELF) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (BLOW (WIND),ONESELF) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (BLOW (WIND),ONESELF) can be removed by conditioning on [DIVINE BREATH]
    successful independence test, link (BLOW (WIND),ONESELF) can be removed by conditioning on [HEART]
    successful independence test, link (BLOW (WIND),ONESELF) can be removed by conditioning on [INSPIRATION]
    successful independence test, link (BLOW (WIND),ONESELF) can be removed by conditioning on [LIFE]
    successful independence test, link (BLOW (WIND),ONESELF) can be removed by conditioning on [MIND]
    successful independence test, link (BLOW (WIND),ONESELF) can be removed by conditioning on [MOOD]
    successful independence test, link (BLOW (WIND),ONESELF) can be removed by conditioning on [PAUSE FOR BREATH]
    successful independence test, link (BLOW (WIND),ONESELF) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (BLOW (WIND),ONESELF) can be removed by conditioning on [SCENT]
    successful independence test, link (BLOW (WIND),ONESELF) can be removed by conditioning on [SELF]
    successful independence test, link (BLOW (WIND),ONESELF) can be removed by conditioning on [SOUL]
    successful independence test, link (BLOW (WIND),ONESELF) can be removed by conditioning on [SUPERNATURAL BEING]
    successful independence test, link (BLOW (WIND),ONESELF) can be removed by conditioning on [TAKE A REST]
    successful independence test, link (BLOW (WIND),ONESELF) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair COLD AIR-MOOD using the 24 neighbors of COLD AIR and MOOD on connecting paths, forming 24 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (COLD AIR,MOOD) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (COLD AIR,MOOD) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (COLD AIR,MOOD) can be removed by conditioning on [BLOW]
    successful independence test, link (COLD AIR,MOOD) can be removed by conditioning on [BREATHE]
    successful independence test, link (COLD AIR,MOOD) can be removed by conditioning on [HEART]
    successful independence test, link (COLD AIR,MOOD) can be removed by conditioning on [INTELLIGENCE]
    successful independence test, link (COLD AIR,MOOD) can be removed by conditioning on [LIFE]
    successful independence test, link (COLD AIR,MOOD) can be removed by conditioning on [LIVING BEING]
    successful independence test, link (COLD AIR,MOOD) can be removed by conditioning on [MIND]
    successful independence test, link (COLD AIR,MOOD) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (COLD AIR,MOOD) can be removed by conditioning on [SELF]
    successful independence test, link (COLD AIR,MOOD) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair COLD AIR-MIND using the 25 neighbors of COLD AIR and MIND on connecting paths, forming 25 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (COLD AIR,MIND) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (COLD AIR,MIND) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (COLD AIR,MIND) can be removed by conditioning on [BLOW]
    successful independence test, link (COLD AIR,MIND) can be removed by conditioning on [BREATHE]
    successful independence test, link (COLD AIR,MIND) can be removed by conditioning on [HEART]
    successful independence test, link (COLD AIR,MIND) can be removed by conditioning on [INTELLIGENCE]
    successful independence test, link (COLD AIR,MIND) can be removed by conditioning on [LIFE]
    successful independence test, link (COLD AIR,MIND) can be removed by conditioning on [LIVING BEING]
    successful independence test, link (COLD AIR,MIND) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (COLD AIR,MIND) can be removed by conditioning on [SELF]
    successful independence test, link (COLD AIR,MIND) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair DIVINE BREATH-LIVING BEING using the 24 neighbors of DIVINE BREATH and LIVING BEING on connecting paths, forming 24 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (DIVINE BREATH,LIVING BEING) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (DIVINE BREATH,LIVING BEING) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (DIVINE BREATH,LIVING BEING) can be removed by conditioning on [BE ON VACATION]
    successful independence test, link (DIVINE BREATH,LIVING BEING) can be removed by conditioning on [BLOW]
    successful independence test, link (DIVINE BREATH,LIVING BEING) can be removed by conditioning on [BLOW (WIND)]
    successful independence test, link (DIVINE BREATH,LIVING BEING) can be removed by conditioning on [BREATHE]
    successful independence test, link (DIVINE BREATH,LIVING BEING) can be removed by conditioning on [GHOST]
    successful independence test, link (DIVINE BREATH,LIVING BEING) can be removed by conditioning on [HEART]
    successful independence test, link (DIVINE BREATH,LIVING BEING) can be removed by conditioning on [INSPIRATION]
    successful independence test, link (DIVINE BREATH,LIVING BEING) can be removed by conditioning on [LIFE]
    successful independence test, link (DIVINE BREATH,LIVING BEING) can be removed by conditioning on [MIND]
    successful independence test, link (DIVINE BREATH,LIVING BEING) can be removed by conditioning on [MOOD]
    successful independence test, link (DIVINE BREATH,LIVING BEING) can be removed by conditioning on [PAUSE FOR BREATH]
    successful independence test, link (DIVINE BREATH,LIVING BEING) can be removed by conditioning on [PRIDE]
    successful independence test, link (DIVINE BREATH,LIVING BEING) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (DIVINE BREATH,LIVING BEING) can be removed by conditioning on [SCENT]
    successful independence test, link (DIVINE BREATH,LIVING BEING) can be removed by conditioning on [SOUL]
    successful independence test, link (DIVINE BREATH,LIVING BEING) can be removed by conditioning on [TAKE A REST]
    successful independence test, link (DIVINE BREATH,LIVING BEING) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair COLD AIR-SELF using the 23 neighbors of COLD AIR and SELF on connecting paths, forming 23 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (COLD AIR,SELF) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (COLD AIR,SELF) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (COLD AIR,SELF) can be removed by conditioning on [BLOW]
    successful independence test, link (COLD AIR,SELF) can be removed by conditioning on [BREATHE]
    successful independence test, link (COLD AIR,SELF) can be removed by conditioning on [HEART]
    successful independence test, link (COLD AIR,SELF) can be removed by conditioning on [INTELLIGENCE]
    successful independence test, link (COLD AIR,SELF) can be removed by conditioning on [LIFE]
    successful independence test, link (COLD AIR,SELF) can be removed by conditioning on [LIVING BEING]
    successful independence test, link (COLD AIR,SELF) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (COLD AIR,SELF) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair SOUL-UTTER using the 26 neighbors of SOUL and UTTER on connecting paths, forming 26 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (SOUL,UTTER) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (SOUL,UTTER) can be removed by conditioning on [BLOW]
    successful independence test, link (SOUL,UTTER) can be removed by conditioning on [BREATHE]
    successful independence test, link (SOUL,UTTER) can be removed by conditioning on [GHOST]
    successful independence test, link (SOUL,UTTER) can be removed by conditioning on [LIFE]
    successful independence test, link (SOUL,UTTER) can be removed by conditioning on [MIND]
    successful independence test, link (SOUL,UTTER) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (SOUL,UTTER) can be removed by conditioning on [VITAL FORCE]
    successful independence test, link (SOUL,UTTER) can be removed by conditioning on [WHISPER]
  Attempting to separate pair BE ON VACATION-HEART using the 24 neighbors of BE ON VACATION and HEART on connecting paths, forming 24 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (BE ON VACATION,HEART) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (BE ON VACATION,HEART) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (BE ON VACATION,HEART) can be removed by conditioning on [BLOW]
    successful independence test, link (BE ON VACATION,HEART) can be removed by conditioning on [BLOW (WIND)]
    successful independence test, link (BE ON VACATION,HEART) can be removed by conditioning on [BREATHE]
    successful independence test, link (BE ON VACATION,HEART) can be removed by conditioning on [DIVINE BREATH]
    successful independence test, link (BE ON VACATION,HEART) can be removed by conditioning on [GHOST]
    successful independence test, link (BE ON VACATION,HEART) can be removed by conditioning on [INSPIRATION]
    successful independence test, link (BE ON VACATION,HEART) can be removed by conditioning on [LIFE]
    successful independence test, link (BE ON VACATION,HEART) can be removed by conditioning on [LIVING BEING]
    successful independence test, link (BE ON VACATION,HEART) can be removed by conditioning on [MOOD]
    successful independence test, link (BE ON VACATION,HEART) can be removed by conditioning on [PAUSE FOR BREATH]
    successful independence test, link (BE ON VACATION,HEART) can be removed by conditioning on [PRIDE]
    successful independence test, link (BE ON VACATION,HEART) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (BE ON VACATION,HEART) can be removed by conditioning on [SCENT]
    successful independence test, link (BE ON VACATION,HEART) can be removed by conditioning on [SOUL]
    successful independence test, link (BE ON VACATION,HEART) can be removed by conditioning on [TAKE A REST]
    successful independence test, link (BE ON VACATION,HEART) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair LIVING BEING-PAUSE FOR BREATH using the 27 neighbors of LIVING BEING and PAUSE FOR BREATH on connecting paths, forming 27 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (LIVING BEING,PAUSE FOR BREATH) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (LIVING BEING,PAUSE FOR BREATH) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (LIVING BEING,PAUSE FOR BREATH) can be removed by conditioning on [BE ON VACATION]
    successful independence test, link (LIVING BEING,PAUSE FOR BREATH) can be removed by conditioning on [BLOW]
    successful independence test, link (LIVING BEING,PAUSE FOR BREATH) can be removed by conditioning on [BLOW (WIND)]
    successful independence test, link (LIVING BEING,PAUSE FOR BREATH) can be removed by conditioning on [BREATHE]
    successful independence test, link (LIVING BEING,PAUSE FOR BREATH) can be removed by conditioning on [GHOST]
    successful independence test, link (LIVING BEING,PAUSE FOR BREATH) can be removed by conditioning on [HEART]
    successful independence test, link (LIVING BEING,PAUSE FOR BREATH) can be removed by conditioning on [INSPIRATION]
    successful independence test, link (LIVING BEING,PAUSE FOR BREATH) can be removed by conditioning on [LIFE]
    successful independence test, link (LIVING BEING,PAUSE FOR BREATH) can be removed by conditioning on [MIND]
    successful independence test, link (LIVING BEING,PAUSE FOR BREATH) can be removed by conditioning on [MOOD]
    successful independence test, link (LIVING BEING,PAUSE FOR BREATH) can be removed by conditioning on [PRIDE]
    successful independence test, link (LIVING BEING,PAUSE FOR BREATH) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (LIVING BEING,PAUSE FOR BREATH) can be removed by conditioning on [SCENT]
    successful independence test, link (LIVING BEING,PAUSE FOR BREATH) can be removed by conditioning on [SOUL]
    successful independence test, link (LIVING BEING,PAUSE FOR BREATH) can be removed by conditioning on [TAKE A REST]
    successful independence test, link (LIVING BEING,PAUSE FOR BREATH) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair AIR OR WIND-COLD AIR using the 24 neighbors of AIR OR WIND and COLD AIR on connecting paths, forming 24 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (AIR OR WIND,COLD AIR) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (AIR OR WIND,COLD AIR) can be removed by conditioning on [BLOW]
    successful independence test, link (AIR OR WIND,COLD AIR) can be removed by conditioning on [BREATHE]
    successful independence test, link (AIR OR WIND,COLD AIR) can be removed by conditioning on [HEART]
    successful independence test, link (AIR OR WIND,COLD AIR) can be removed by conditioning on [INTELLIGENCE]
    successful independence test, link (AIR OR WIND,COLD AIR) can be removed by conditioning on [LIFE]
    successful independence test, link (AIR OR WIND,COLD AIR) can be removed by conditioning on [LIVING BEING]
